Number of channels received = 325
Channel                  Rate  chan_type
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH21           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH22           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH3C           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH41           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH42           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH51           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH52           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH61           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH62           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_VOLT3C             16      raw    real_4
L0:FMC-EY_AHU_EYHFAN_SWITCH                 16      raw    real_4
L0:FMC-EY_AHU_FAN1_CFM                      16      raw    real_4
L0:FMC-EY_AHU_FAN1_COIL_DISCH_TEMP          16      raw    real_4
L0:FMC-EY_AHU_FAN1_DISCH_RH                 16      raw    real_4
L0:FMC-EY_AHU_FAN1_DISCH_TEMP               16      raw    real_4
L0:FMC-EY_AHU_FAN1_H2O_VALVE                16      raw    real_4
L0:FMC-EY_AHU_FAN1_INLET                    16      raw    real_4
L0:FMC-EY_AHU_FAN1_ISODAMP_SWITCH           16      raw    real_4
L0:FMC-EY_AHU_FAN1_MIXDAMP                  16      raw    real_4
L0:FMC-EY_AHU_FAN1_MIXTEMP                  16      raw    real_4
L0:FMC-EY_AHU_FAN1_MIX_RH                   16      raw    real_4
L0:FMC-EY_AHU_FAN1_OUTAIR                   16      raw    real_4
L0:FMC-EY_AHU_FAN1_PREHEAT1_SWITCH          16      raw    real_4
L0:FMC-EY_AHU_FAN1_PREHEAT2_SWITCH          16      raw    real_4
L0:FMC-EY_AHU_FAN1_SWITCH                   16      raw    real_4
L0:FMC-EY_AHU_FAN1_VS                       16      raw    real_4
L0:FMC-EY_AHU_FAN1_VS                      128      raw    real_4
L0:FMC-EY_AHU_FAN2_CFM                      16      raw    real_4
L0:FMC-EY_AHU_FAN2_COIL_DISCH_TEMP          16      raw    real_4
L0:FMC-EY_AHU_FAN2_DISCH_RH                 16      raw    real_4
L0:FMC-EY_AHU_FAN2_DISCH_TEMP               16      raw    real_4
L0:FMC-EY_AHU_FAN2_H2O_VALVE                16      raw    real_4
L0:FMC-EY_AHU_FAN2_INLET                    16      raw    real_4
L0:FMC-EY_AHU_FAN2_ISODAMP_SWITCH           16      raw    real_4
L0:FMC-EY_AHU_FAN2_MIXDAMP                  16      raw    real_4
L0:FMC-EY_AHU_FAN2_MIXTEMP                  16      raw    real_4
L0:FMC-EY_AHU_FAN2_MIX_RH                   16      raw    real_4
L0:FMC-EY_AHU_FAN2_OUTAIR                   16      raw    real_4
L0:FMC-EY_AHU_FAN2_PREHEAT1_SWITCH          16      raw    real_4
L0:FMC-EY_AHU_FAN2_PREHEAT2_SWITCH          16      raw    real_4
L0:FMC-EY_AHU_FAN2_SWITCH                   16      raw    real_4
L0:FMC-EY_AHU_FAN2_VS                       16      raw    real_4
L0:FMC-EY_AHU_FAN2_VS                      128      raw    real_4
L0:FMC-EY_AHU_H2O_SUP_TEMP                  16      raw    real_4
L0:FMC-EY_AHU_OUTAIR_DAMP                   16      raw    real_4
L0:FMC-EY_AHU_RETAIR_DAMP                   16      raw    real_4
L0:FMC-EY_CY_CHILL1_DIS_TEMP                16      raw    real_4
L0:FMC-EY_CY_CHILL1_SWITCH1                 16      raw    real_4
L0:FMC-EY_CY_CHILL1_SWITCH2                 16      raw    real_4
L0:FMC-EY_CY_CHILL1_VS                      16      raw    real_4
L0:FMC-EY_CY_CHILL2_DIS_TEMP                16      raw    real_4
L0:FMC-EY_CY_CHILL2_SWITCH1                 16      raw    real_4
L0:FMC-EY_CY_CHILL2_SWITCH2                 16      raw    real_4
L0:FMC-EY_CY_CHILL2_VS                      16      raw    real_4
L0:FMC-EY_CY_H2O_RET_TEMP                   16      raw    real_4
L0:FMC-EY_CY_H2O_SUP_TEMP                   16      raw    real_4
L0:FMC-EY_CY_PUMP1_PRESS                    16      raw    real_4
L0:FMC-EY_CY_PUMP1_SWITCH                   16      raw    real_4
L0:FMC-EY_CY_PUMP1_VS                       16      raw    real_4
L0:FMC-EY_CY_PUMP2_PRESS                    16      raw    real_4
L0:FMC-EY_CY_PUMP2_SWITCH                   16      raw    real_4
L0:FMC-EY_CY_PUMP2_VS                       16      raw    real_4
L0:FMC-EY_VEA_202A_TEMP                     16      raw    real_4
L0:FMC-EY_VEA_202B_TEMP                     16      raw    real_4
L0:FMC-EY_VEA_202C_TEMP                     16      raw    real_4
L0:FMC-EY_VEA_202D_TEMP                     16      raw    real_4
L0:FMC-EY_VEA_202_AVTEMP                    16      raw    real_4
L0:FMC-EY_VEA_203_TEMP                      16      raw    real_4
L0:FMC-EY_VEA_204_TEMP                      16      raw    real_4
L0:FMC-EY_VEA_205_206_AVTEMP                16      raw    real_4
L0:FMC-EY_VEA_205_TEMP                      16      raw    real_4
L0:FMC-EY_VEA_206_TEMP                      16      raw    real_4
L0:FMC-EY_VEA_207_TEMP                      16      raw    real_4
L0:FMC-EY_VEA_210_TEMP                      16      raw    real_4
L0:FMC-EY_VEA_AVTEMP                        16      raw    real_4
L0:FMC-EY_VEA_BLDG_DIF_PRS                  16      raw    real_4
L0:FMC-EY_VEA_OUTSIDE_TEMP                  16      raw    real_4
L0:FMC-EY_VEA_RH                            16      raw    real_4
Number of channels received = 240
Channel                  Rate  chan_type
LVE-BX:X11_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X11_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X11_BT_TEMP_C                        16      raw    real_4
LVE-BX:X12_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X12_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X12_BT_TEMP_C                        16      raw    real_4
LVE-BX:X13_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X13_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X13_BT_TEMP_C                        16      raw    real_4
LVE-BX:X14_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X14_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X14_BT_TEMP_C                        16      raw    real_4
LVE-BX:X15_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X15_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X15_BT_TEMP_C                        16      raw    real_4
LVE-BX:X16_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X16_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X16_BT_TEMP_C                        16      raw    real_4
LVE-BX:X17_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X17_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X17_BT_TEMP_C                        16      raw    real_4
LVE-BX:X21_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X21_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X21_BT_TEMP_C                        16      raw    real_4
LVE-BX:X22_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X22_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X22_BT_TEMP_C                        16      raw    real_4
LVE-BX:X23_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X23_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X23_BT_TEMP_C                        16      raw    real_4
LVE-BX:X24_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X24_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X24_BT_TEMP_C                        16      raw    real_4
LVE-BX:X25_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X25_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X25_BT_TEMP_C                        16      raw    real_4
LVE-BX:X26_949BTORR                         16      raw    real_4
LVE-BX:X26_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X26_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X26_BT_TEMP_C                        16      raw    real_4
LVE-BX:X27_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X27_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X27_BT_TEMP_C                        16      raw    real_4
LVE-BX:X27_X4_952TORR                       16      raw    real_4
LVE-BX:XMID_BT_TEMP_C                       16      raw    real_4
LVE-BX:Y27_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y11_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y11_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y11_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y12_958BTORR                         16      raw    real_4
LVE-BY:Y12_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y12_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y12_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y13_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y13_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y13_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y14_964BTORR                         16      raw    real_4
LVE-BY:Y14_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y14_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y14_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y15_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y15_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y15_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y16_970BTORR                         16      raw    real_4
LVE-BY:Y16_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y16_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y16_BT_TEMP_C                        16      raw    real_4
