Number of channels received = 240
Channel                  Rate  chan_type
LVE-LX:X1_670ATORR                          16      raw    real_4
LVE-LX:X1_670BTORR                          16      raw    real_4
LVE-LX:X2_634ATORR                          16      raw    real_4
LVE-LX:X2_634BTORR                          16      raw    real_4
LVE-LX:X3_644ATORR                          16      raw    real_4
LVE-LX:X3_644BTORR                          16      raw    real_4
LVE-LX:Y1_660ATORR                          16      raw    real_4
LVE-LX:Y1_660BTORR                          16      raw    real_4
LVE-LY:75IPBM_AIPTORR                       16      raw    real_4
LVE-LY:CP1_LIC600                           16      raw    real_4
LVE-LY:CP1_LT600                            16      raw    real_4
LVE-LY:CP1_LT605                            16      raw    real_4
LVE-LY:CP1_LVLSIG                           16      raw    real_4
LVE-LY:GV1_AIPTORR                          16      raw    real_4
LVE-LY:GV3_AIPTORR                          16      raw    real_4
LVE-LY:GV4_AIPTORR                          16      raw    real_4
LVE-LY:ITMY_OP_LEV_TEMP                     16      raw    real_4
LVE-LY:LVEA_Y_ROOM_TEMP                     16      raw    real_4
LVE-LY:Y1_620ATORR                          16      raw    real_4
LVE-LY:Y1_620BTORR                          16      raw    real_4
LVE-LY:Y1_660ATORR                          16      raw    real_4
LVE-LY:Y1_660BTORR                          16      raw    real_4
LVE-LY:Y2_680ATORR                          16      raw    real_4
LVE-LY:Y2_680BTORR                          16      raw    real_4
LVE-LY:Y3_614ATORR                          16      raw    real_4
LVE-LY:Y3_614BTORR                          16      raw    real_4
LVE-LY:Y4_624ATORR                          16      raw    real_4
LVE-LY:Y4_624BTORR                          16      raw    real_4
LVE-MR:75IPBSC1_AIPTORR                     16      raw    real_4
LVE-MR:75IPBSC2_AIPTORR                     16      raw    real_4
LVE-MR:75IPBSC3_AIPTORR                     16      raw    real_4
LVE-MR:75IPHAM1_AIPTORR                     16      raw    real_4
LVE-MR:75IPHAM2_AIPTORR                     16      raw    real_4
LVE-MR:75IPHAM3_AIPTORR                     16      raw    real_4
LVE-MR:75IPHAM4_AIPTORR                     16      raw    real_4
LVE-MR:75IPHAM5_AIPTORR                     16      raw    real_4
LVE-MR:75IPHAM6_AIPTORR                     16      raw    real_4
LVE-MR:INSTAIR_PT699                        16      raw    real_4
LVE-MR:IP1_EI661A                           16      raw    real_4
LVE-MR:IP1_EI661B                           16      raw    real_4
LVE-MR:IP1_ST661A                           16      raw    real_4
LVE-MR:IP1_ST661B                           16      raw    real_4
LVE-MR:IP1_VI661A                           16      raw    real_4
LVE-MR:IP1_VI661B                           16      raw    real_4
LVE-MR:IP2_EI662A                           16      raw    real_4
LVE-MR:IP2_EI662B                           16      raw    real_4
LVE-MR:IP2_ST662A                           16      raw    real_4
LVE-MR:IP2_ST662B                           16      raw    real_4
LVE-MR:IP2_VI662A                           16      raw    real_4
LVE-MR:IP2_VI662B                           16      raw    real_4
LVE-MR:IP3_EI663A                           16      raw    real_4
LVE-MR:IP3_EI663B                           16      raw    real_4
LVE-MR:IP3_ST663A                           16      raw    real_4
LVE-MR:IP3_ST663B                           16      raw    real_4
LVE-MR:IP3_VI663A                           16      raw    real_4
LVE-MR:IP3_VI663B                           16      raw    real_4
LVE-MR:IP4_EI664A                           16      raw    real_4
LVE-MR:IP4_EI664B                           16      raw    real_4
LVE-MR:IP4_ST664A                           16      raw    real_4
LVE-MR:IP4_ST664B                           16      raw    real_4
LVE-MR:IP4_VI664A                           16      raw    real_4
LVE-MR:IP4_VI664B                           16      raw    real_4
LVE-MX:GV8_AIPTORR                          16      raw    real_4
LVE-MX:X1_653BTORR                          16      raw    real_4
LVE-MX:X4_656TORR                           16      raw    real_4
LVE-MX:X6_658AMP                            16      raw    real_4
LVE-MX:X6_658TORR                           16      raw    real_4
LVE-MY:GV7_AIPTORR                          16      raw    real_4
LVE-MY:Y1_753BTORR                          16      raw    real_4
LVE-MY:Y2_754ATORR                          16      raw    real_4
LVE-MY:Y2_754BTORR                          16      raw    real_4
LVE-MY:Y3_755ATORR                          16      raw    real_4
LVE-MY:Y4_756TORR                           16      raw    real_4
LVE-MY:Y5_757TORR                           16      raw    real_4
LVE-MY:Y6_758TORR                           16      raw    real_4
